Page URL,Target Keyword,Title Tag,Title Length,Title Has Keyword?,Meta Description,Meta Length,Meta Has Keyword?,H1 Tag,H1 Has Keyword?,Word Count,Keyword in First 100 Words?,Keyword Density %,Image Count,Images with Alt Text,Internal Links,External Links,Readability Score,Mobile Friendly?,Page Speed Score,Issues Found,Priority,Recommended Actions
https://example.com/page1,,,,,,,,,,,,,,,,,,,,,High,
https://example.com/page2,,,,,,,,,,,,,,,,,,,,,Medium,
https://example.com/page3,,,,,,,,,,,,,,,,,,,,,Low,

SCORING GUIDE,,,,,,,,,,,,,,,,,,,,,,
Title Tag Length,50-60 characters is ideal,,,,,,,,,,,,,,,,,,,,,
Meta Description Length,150-160 characters is ideal,,,,,,,,,,,,,,,,,,,,,
Keyword Density,1-3% is ideal (not stuffed),,,,,,,,,,,,,,,,,,,,,
Word Count,500+ for service pages | 1500+ for blog posts,,,,,,,,,,,,,,,,,,,,,
Readability,8th grade level or lower is ideal,,,,,,,,,,,,,,,,,,,,,
Page Speed,80+ is good | 90+ is excellent,,,,,,,,,,,,,,,,,,,,,

ISSUE PRIORITY DEFINITIONS,,,,,,,,,,,,,,,,,,,,,,
Critical,Page cannot be indexed or has major errors,,,,,,,,,,,,,,,,,,,,,
High,Significant ranking impact - fix ASAP,,,,,,,,,,,,,,,,,,,,,,,
Medium,Moderate impact - fix within 2 weeks,,,,,,,,,,,,,,,,,,,,,,,
Low,Minor impact - fix when time allows,,,,,,,,,,,,,,,,,,,,,,,

COMMON ISSUES & FIXES,,,,,,,,,,,,,,,,,,,,,,
Missing Title Tag,"Add unique, keyword-rich title (50-60 chars)",,,,,,,,,,,,,,,,,,,,,
Duplicate Title Tags,Make each page title unique,,,,,,,,,,,,,,,,,,,,,
Keyword Not in Title,Add target keyword near the beginning,,,,,,,,,,,,,,,,,,,,,
Missing Meta Description,"Write compelling meta (150-160 chars, include keyword)",,,,,,,,,,,,,,,,,,,,,
Missing H1,Add one clear H1 tag per page with keyword,,,,,,,,,,,,,,,,,,,,,
Multiple H1s,Use only one H1 per page,,,,,,,,,,,,,,,,,,,,,
Thin Content,Expand content to 500+ words with value,,,,,,,,,,,,,,,,,,,,,
Keyword Stuffing,"Use keyword naturally, aim for 1-3% density",,,,,,,,,,,,,,,,,,,,,
Images Missing Alt Text,Add descriptive alt text to all images,,,,,,,,,,,,,,,,,,,,,
No Internal Links,Add 2-5 relevant internal links,,,,,,,,,,,,,,,,,,,,,
Slow Page Speed,"Compress images, enable caching, minify CSS/JS",,,,,,,,,,,,,,,,,,,,,
Not Mobile Friendly,Use responsive design theme/template,,,,,,,,,,,,,,,,,,,,,