Section,Item,Status,Score (0-10),Notes,Action Required
GOOGLE BUSINESS PROFILE,Profile claimed and verified,,,,
GOOGLE BUSINESS PROFILE,Business name accurate,,,,
GOOGLE BUSINESS PROFILE,Address accurate and complete,,,,
GOOGLE BUSINESS PROFILE,Phone number accurate,,,,
GOOGLE BUSINESS PROFILE,Website URL added,,,,
GOOGLE BUSINESS PROFILE,Business hours accurate,,,,
GOOGLE BUSINESS PROFILE,Primary category selected (most specific),,,,
GOOGLE BUSINESS PROFILE,All relevant categories added,,,,
GOOGLE BUSINESS PROFILE,Business description complete (750 chars),,,,
GOOGLE BUSINESS PROFILE,Description includes keywords naturally,,,,
GOOGLE BUSINESS PROFILE,Services list is complete,,,,
GOOGLE BUSINESS PROFILE,Products list added (if applicable),,,,
GOOGLE BUSINESS PROFILE,Attributes selected (wheelchair accessible etc),,,,
GOOGLE BUSINESS PROFILE,10+ photos uploaded,,,,
GOOGLE BUSINESS PROFILE,Cover photo is high quality,,,,
GOOGLE BUSINESS PROFILE,Photos show exterior,,,,
GOOGLE BUSINESS PROFILE,Photos show interior,,,,
GOOGLE BUSINESS PROFILE,Photos show team/staff,,,,
GOOGLE BUSINESS PROFILE,Photos show products/services,,,,
GOOGLE BUSINESS PROFILE,Appointment link added (if applicable),,,,
GOOGLE BUSINESS PROFILE,Messaging enabled,,,,
GOOGLE BUSINESS PROFILE,Posts published regularly (1-2/week),,,,
GOOGLE BUSINESS PROFILE,Q&A section monitored and answered,,,,
GOOGLE BUSINESS PROFILE,Reviews responded to (all of them),,,,
NAP CONSISTENCY,NAP matches on website,,,,
NAP CONSISTENCY,NAP matches on Google Business Profile,,,,
NAP CONSISTENCY,NAP matches on Facebook,,,,
NAP CONSISTENCY,NAP matches on Yelp,,,,
NAP CONSISTENCY,NAP matches on Yellow Pages,,,,
NAP CONSISTENCY,NAP matches on Bing Places,,,,
NAP CONSISTENCY,NAP matches on Apple Maps,,,,
NAP CONSISTENCY,NAP format is consistent everywhere,,,,
NAP CONSISTENCY,No PO boxes used (physical address only),,,,
NAP CONSISTENCY,Phone number is local (not tracking number),,,,
REVIEWS,Total Google reviews count:,,,,
REVIEWS,Average Google star rating:,,,,
REVIEWS,Reviews within last 30 days:,,,,
REVIEWS,Review response rate: ____%,,,,
REVIEWS,Average response time: ___ hours,,,,
REVIEWS,Negative reviews addressed professionally,,,,
REVIEWS,Review generation process in place,,,,
REVIEWS,Follow-up emails request reviews,,,,
REVIEWS,QR code/link makes leaving reviews easy,,,,
REVIEWS,Reviews present on Yelp,,,,
REVIEWS,Reviews present on Facebook,,,,
REVIEWS,Reviews present on industry-specific sites,,,,
CITATIONS,Listed on Yelp,,,,
CITATIONS,Listed on Yellow Pages,,,,
CITATIONS,Listed on Bing Places,,,,
CITATIONS,Listed on Apple Maps,,,,
CITATIONS,Listed on Better Business Bureau,,,,
CITATIONS,Listed on Chamber of Commerce,,,,
CITATIONS,Listed on Angie's List / HomeAdvisor (if applicable),,,,
CITATIONS,Listed on industry-specific directories,,,,
CITATIONS,All citations have complete information,,,,
CITATIONS,Citation NAP is consistent,,,,
CITATIONS,Total citation count: ____,,,,
LOCAL CONTENT,Homepage mentions city/location,,,,
LOCAL CONTENT,Service area pages created for each location,,,,
LOCAL CONTENT,City/neighborhood mentioned in content,,,,
LOCAL CONTENT,Local landmarks mentioned,,,,
LOCAL CONTENT,Local blog posts published,,,,
LOCAL CONTENT,Community involvement highlighted,,,,
LOCAL CONTENT,Local case studies/testimonials featured,,,,
LOCAL BACKLINKS,Links from local news sites,,,,
LOCAL BACKLINKS,Links from local chambers/associations,,,,
LOCAL BACKLINKS,Links from local .gov or .edu sites,,,,
LOCAL BACKLINKS,Links from local event sponsorships,,,,
LOCAL BACKLINKS,Links from local business partners,,,,
LOCAL BACKLINKS,Links from local directories,,,,
SCHEMA MARKUP,LocalBusiness schema implemented,,,,
SCHEMA MARKUP,Organization schema on homepage,,,,
SCHEMA MARKUP,Address schema markup,,,,
SCHEMA MARKUP,Opening hours schema markup,,,,
SCHEMA MARKUP,Review schema markup (if applicable),,,,
SOCIAL SIGNALS,Facebook page claimed and active,,,,
SOCIAL SIGNALS,Facebook page has NAP,,,,
SOCIAL SIGNALS,Instagram location tagged in posts,,,,
SOCIAL SIGNALS,LinkedIn company page (if B2B),,,,
SOCIAL SIGNALS,Nextdoor business page (for local services),,,,

SCORING SUMMARY,,,,Total Score: ___/800,
Google Business Profile,,,,(240 points max),
NAP Consistency,,,,(100 points max),
Reviews,,,,(120 points max),
Citations,,,,(110 points max),
Local Content,,,,(70 points max),
Local Backlinks,,,,(60 points max),
Schema Markup,,,,(50 points max),
Social Signals,,,,(50 points max),

SCORE INTERPRETATION,,,,,,
700-800,Excellent local SEO - maintain and monitor,,,,,
600-699,Good - minor improvements needed,,,,,
500-599,Average - several areas need attention,,,,,
400-499,Below Average - significant work required,,,,,
0-399,Poor - major overhaul needed,,,,,