Referring Domain,Target URL,Anchor Text,Link Type,Domain Authority (Est),Link Status,Toxicity Score,Date Discovered,Notes,Action Required
example.com/page,yoursite.com/page,Click Here,Dofollow,45,Active,0,2026-01-15,,Keep
bad-site.com/spam,yoursite.com,Keyword Spam,Dofollow,5,Active,85,2026-02-01,Spammy site,Disavow

LINK TYPE DEFINITIONS,,,,,,,,,,
Dofollow,Passes SEO value (link juice),,,,,,,,,
Nofollow,Does not pass SEO value,,,,,,,,,
UGC,"User-generated content link (comments, forums)",,,,,,,,,
Sponsored,Paid or affiliate link,,,,,,,,,

DOMAIN AUTHORITY GUIDE,,,,,,,,,,
80-100,Excellent - very valuable links,,,,,,,,,
60-79,Very Good - strong links,,,,,,,,,
40-59,Good - decent links,,,,,,,,,
20-39,Fair - moderate value,,,,,,,,,
0-19,Low - minimal value,,,,,,,,,

TOXICITY SCORE GUIDE,,,,,,,,,,
0-30,Safe - high quality link,,,,,,,,,
31-60,Moderate - monitor but likely okay,,,,,,,,,
61-80,Suspicious - consider disavowing,,,,,,,,,
81-100,Toxic - disavow immediately,,,,,,,,,

RED FLAGS (Toxic Link Indicators),,,,,,,,,,
,Spammy anchor text (over-optimized keywords),,,,,,,,,
,Foreign language site (unrelated to your niche),,,,,,,,,
,Site has malware or security warnings,,,,,,,,,
,Link farm or PBN (private blog network),,,,,,,,,
,Adult content or gambling site (if not your niche),,,,,,,,,
,Site has no traffic or rankings,,,,,,,,,
,Sitewide footer/sidebar links (unnatural),,,,,,,,,
,Paid links (violates Google guidelines),,,,,,,,,

BACKLINK PROFILE HEALTH METRICS,,,,,,,,,,
Metric,Your Site,Competitor 1,Competitor 2,Competitor 3,Target,,,,,
Total Backlinks,,,,,1000+,,,,,
Referring Domains,,,,,100+,,,,,
Avg Domain Authority,,,,,40+,,,,,
Dofollow Ratio,,,,,60-80%,,,,,
Toxic Link %,,,,,<5%,,,,,
Anchor Text Diversity,,,,,High (varied),,,,,

ANCHOR TEXT ANALYSIS,,,,,,,,,,
Anchor Type,Count,Percentage,Ideal %,Status,,,,,,
Branded (YourBrand),,,40-60%,,,,,,,
Exact Match (Target Keyword),,,5-10%,,,,,,,
Partial Match (Variations),,,10-20%,,,,,,,
Generic (Click Here),,,20-30%,,,,,,,
URL (yoursite.com),,,5-15%,,,,,,,
Image (No Text),,,<5%,,,,,,,

LINK BUILDING OPPORTUNITIES,,,,,,,,,,
Opportunity Type,Target Site,Domain Authority,Outreach Status,Notes,,,,,,
Guest Post,industry-blog.com,52,Not Contacted,Write about SEO tips,,,,,,
Directory,local-directory.com,38,Submitted,Waiting for approval,,,,,,
Partnership,partner-business.com,45,In Discussion,Co-marketing opportunity,,,,,,
Reclaim Mention,news-site.com,68,Contacted,They mentioned us but no link,,,,,,

DISAVOW FILE PREPARATION,,,,,,,,,,
(Copy toxic domains below to create disavow.txt file),,,,,,,,,,
domain:bad-site1.com,,,,,,,,,,
domain:spam-site2.com,,,,,,,,,,
domain:low-quality3.com,,,,,,,,,,
(Upload to Google Search Console > Disavow Links),,,,,,,,,,